State,2021_Families!!Estimate_Mean income (dollars),2021_Families!!Estimate_Median income (dollars),2021_Families!!Estimate_Total,2021_Families!!Estimate_    Family income in the past 12 months,2021_Households!!Estimate_Mean income (dollars),2021_Households!!Estimate_Median income (dollars),2021_Households!!Estimate_Total,2021_Households!!Estimate_    Household income in the past 12 months,2021_Married-couple families!!Estimate_Mean income (dollars),2021_Married-couple families!!Estimate_Median income (dollars),2021_Married-couple families!!Estimate_Total,2021_Nonfamily households!!Estimate_Mean income (dollars),2021_Nonfamily households!!Estimate_Median income (dollars),2021_Nonfamily households!!Estimate_Total,2021_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,2022_Families!!Estimate_Mean income (dollars),2022_Families!!Estimate_Median income (dollars),2022_Families!!Estimate_Total,2022_Families!!Estimate_    Family income in the past 12 months,2022_Households!!Estimate_Mean income (dollars),2022_Households!!Estimate_Median income (dollars),2022_Households!!Estimate_Total,2022_Households!!Estimate_    Household income in the past 12 months,2022_Married-couple families!!Estimate_Mean income (dollars),2022_Married-couple families!!Estimate_Median income (dollars),2022_Married-couple families!!Estimate_Total,2022_Nonfamily households!!Estimate_Mean income (dollars),2022_Nonfamily households!!Estimate_Median income (dollars),2022_Nonfamily households!!Estimate_Total,2022_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,2023_Families!!Estimate_Mean income (dollars),2023_Families!!Estimate_Median income (dollars),2023_Families!!Estimate_Total,2023_Families!!Estimate_    Family income in the past 12 months,2023_Households!!Estimate_Mean income (dollars),2023_Households!!Estimate_Median income (dollars),2023_Households!!Estimate_Total,2023_Households!!Estimate_    Household income in the past 12 months,2023_Married-couple families!!Estimate_Mean income (dollars),2023_Married-couple families!!Estimate_Median income (dollars),2023_Married-couple families!!Estimate_Total,2023_Nonfamily households!!Estimate_Mean income (dollars),2023_Nonfamily households!!Estimate_Median income (dollars),2023_Nonfamily households!!Estimate_Total,2023_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,2024_Families!!Estimate_Mean income (dollars),2024_Families!!Estimate_Median income (dollars),2024_Families!!Estimate_Total,2024_Families!!Estimate_    Family income in the past 12 months,2024_Households!!Estimate_Mean income (dollars),2024_Households!!Estimate_Median income (dollars),2024_Households!!Estimate_Total,2024_Households!!Estimate_    Household income in the past 12 months,2024_Married-couple families!!Estimate_Mean income (dollars),2024_Married-couple families!!Estimate_Median income (dollars),2024_Married-couple families!!Estimate_Total,2024_Nonfamily households!!Estimate_Mean income (dollars),2024_Nonfamily households!!Estimate_Median income (dollars),2024_Nonfamily households!!Estimate_Total,2024_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months
Puerto Rico,"41,678","27,669","738,853",39.3%,"35,452","22,237","1,165,982",36.3%,"53,721","36,333","401,781","21,531","13,535","427,129",28.0%,"45,243","29,544","820,788",38.1%,"39,142","24,112","1,289,311",35.5%,"59,169","39,637","449,853","24,694","15,006","468,523",28.2%,"48,941","32,091","798,202",39.2%,"41,592","25,621","1,277,486",35.0%,"62,278","42,665","434,951","26,028","15,409","479,284",26.0%,"51,730","34,730","764,486",40.2%,"43,218","27,213","1,242,609",35.9%,"66,720","44,847","419,876","26,592","16,524","478,123",27.5%
Rhode Island,"122,029","97,304","268,718",46.2%,"99,144","74,008","440,170",43.1%,"142,633","116,036","194,722","58,838","43,210","171,452",37.2%,"133,207","105,989","266,935",42.8%,"108,023","81,854","446,688",40.8%,"153,078","126,702","188,207","65,595","48,459","179,753",36.3%,"138,420","110,143","268,831",43.5%,"113,091","84,972","443,980",41.7%,"160,916","130,921","193,263","68,322","51,650","175,149",36.8%,"137,481","108,082","269,995",42.4%,"114,532","83,504","448,318",39.7%,"159,665","131,985","193,758","74,899","51,211","178,323",34.0%
South Carolina,"96,209","73,901","1,337,289",42.9%,"81,580","59,318","2,049,972",42.3%,"113,027","90,012","964,209","50,546","35,847","712,683",39.9%,"105,495","79,886","1,398,412",40.6%,"88,704","64,115","2,136,080",39.4%,"123,598","96,419","1,018,293","53,647","38,426","737,668",36.2%,"109,676","83,747","1,422,966",40.9%,"92,578","67,804","2,177,733",39.2%,"128,855","101,770","1,036,532","56,369","41,014","754,767",34.7%,"116,697","90,883","1,460,157",39.5%,"97,757","72,350","2,222,890",38.4%,"134,839","107,819","1,070,193","57,605","42,589","762,733",34.9%
South Dakota,"105,008","82,562","221,214",33.5%,"86,194","66,143","356,887",32.8%,"118,049","93,567","175,003","53,024","40,405","135,673",30.7%,"110,227","89,573","224,853",33.3%,"90,806","69,728","368,300",32.8%,"123,656","101,659","177,786","57,250","42,028","143,447",31.0%,"120,001","94,560","231,690",34.1%,"96,650","71,810","378,559",33.2%,"134,536","106,869","182,163","56,249","41,971","146,869",30.6%,"121,465","98,083","236,510",34.2%,"100,178","76,881","382,302",32.4%,"134,597","110,370","188,332","61,595","47,275","145,792",28.6%
Tennessee,"100,324","74,709","1,782,813",41.0%,"83,777","59,695","2,770,395",39.9%,"116,905","89,329","1,303,575","50,163","35,951","987,582",36.3%,"105,555","80,910","1,846,572",39.9%,"89,799","65,254","2,846,684",38.5%,"123,035","96,141","1,342,153","56,860","40,285","1,000,112",34.2%,"112,053","85,440","1,847,158",40.7%,"94,180","67,631","2,889,226",38.8%,"129,592","101,367","1,350,430","58,259","41,407","1,042,068",34.4%,"118,478","90,018","1,874,168",39.7%,"99,759","71,997","2,928,765",38.3%,"137,193","105,402","1,367,949","62,460","43,979","1,054,597",34.6%
Texas,"107,778","80,304","7,373,185",41.2%,"93,668","66,963","10,796,247",38.8%,"126,519","98,041","5,341,490","58,904","41,190","3,423,062",32.2%,"117,182","86,267","7,483,376",40.6%,"101,738","72,284","11,087,708",37.8%,"137,489","105,245","5,401,546","64,874","45,999","3,604,332",30.6%,"123,683","91,467","7,587,046",40.5%,"106,549","75,780","11,260,645",37.8%,"144,529","109,997","5,486,996","66,123","47,822","3,673,599",30.8%,"129,585","96,239","7,739,539",40.3%,"111,695","79,721","11,449,769",37.6%,"152,184","116,785","5,574,265","69,162","50,036","3,710,230",30.6%
Utah,"119,473","92,192","798,045",35.3%,"105,076","79,449","1,101,499",34.7%,"129,302","100,616","652,738","61,038","45,487","303,454",30.6%,"127,229","102,177","830,599",33.7%,"114,044","89,168","1,129,660",34.2%,"138,068","111,564","672,316","69,275","51,496","299,061",32.3%,"131,919","107,507","843,162",34.7%,"117,752","93,421","1,167,591",34.7%,"144,379","117,765","679,547","72,564","53,736","324,429",32.0%,"137,418","111,919","849,439",34.6%,"122,370","96,658","1,184,428",34.7%,"151,152","123,651","679,429","75,814","56,838","334,989",32.3%
Vermont,"114,514","90,556","165,039",33.2%,"94,496","72,431","270,163",33.0%,N,"102,010","130,749","58,532","40,968","105,124",31.5%,"117,603","96,345","164,496",32.6%,"97,261","73,991","277,090",32.5%,"130,659","108,671","131,234","63,143","46,022","112,594",31.0%,"130,537","104,756","165,759",32.3%,"105,931","81,211","279,612",32.6%,"142,495","116,232","132,173","65,528","46,744","113,853",31.8%,"135,160","105,766","164,873",32.5%,"109,920","82,730","285,548",32.0%,"150,713","118,784","128,672","69,294","52,385","120,675",30.0%
Virginia,"131,733","100,763","2,164,944",40.0%,"111,287","80,963","3,331,461",38.4%,"151,438","118,799","1,629,590","68,715","47,745","1,166,517",34.3%,"141,078","107,101","2,191,916",39.2%,"119,058","85,873","3,380,607",37.2%,"163,178","126,808","1,642,002","73,302","51,436","1,188,691",32.4%,"146,231","109,947","2,217,793",38.9%,"123,132","89,931","3,402,670",36.7%,"168,277","129,881","1,665,817","74,648","53,526","1,184,877",31.3%,"150,526","114,278","2,231,548",37.9%,"127,363","92,090","3,449,307",36.4%,"173,213","135,478","1,664,649","79,782","57,059","1,217,759",32.4%
Washington,"135,552","102,178","1,937,081",33.2%,"116,349","84,247","3,022,255",32.2%,"153,821","118,038","1,503,723","75,817","52,055","1,085,174",28.3%,"146,344","109,192","1,935,445",34.9%,"125,847","91,306","3,079,953",33.3%,"165,028","124,257","1,499,199","84,851","57,299","1,144,508",29.1%,"151,529","113,053","1,954,339",34.0%,"129,161","94,605","3,101,265",32.2%,"171,199","129,836","1,511,217","84,222","59,147","1,146,926",27.4%,"161,312","120,265","1,980,171",33.2%,"136,793","99,389","3,168,080",31.5%,"181,874","136,875","1,537,506","89,336","61,937","1,187,909",27.1%
West Virginia,"87,614","66,669","462,328",39.2%,"72,294","51,248","722,201",36.8%,"100,305","79,548","345,572","42,223","28,989","259,873",30.6%,"89,306","70,318","463,064",36.4%,"75,265","54,329","736,341",34.2%,"102,844","83,915","338,510","48,384","31,082","273,277",29.3%,"93,936","73,421","457,298",36.6%,"76,585","55,948","743,644",34.6%,"107,953","86,392","336,677","45,593","32,846","286,346",30.3%,"97,074","78,252","472,539",36.1%,"81,114","60,798","740,840",35.1%,"111,019","91,334","349,674","49,005","33,866","268,301",32.0%
Wisconsin,"107,124","85,810","1,514,656",35.0%,"88,304","67,125","2,449,970",34.3%,"120,929","99,381","1,162,694","54,073","40,664","935,314",32.0%,"114,906","91,700","1,511,105",33.5%,"94,085","70,996","2,491,121",32.1%,"129,517","105,109","1,171,977","57,892","42,812","980,016",28.7%,"120,531","96,999","1,503,221",33.3%,"97,894","74,631","2,495,539",31.6%,"134,989","110,739","1,169,734","59,771","45,567","992,318",28.0%,"123,358","100,319","1,520,495",32.5%,"100,929","77,488","2,535,198",31.5%,"138,683","113,558","1,174,673","63,272","48,114","1,014,703",29.2%
Wyoming,"105,191","83,789","150,833",33.6%,"86,911","65,204","242,763",33.1%,"114,752","93,500","120,894","54,175","36,982","91,930",31.3%,"106,006","86,552","153,365",34.3%,"90,018","70,042","243,321",32.8%,"117,273","98,789","119,329","57,301","40,019","89,956",28.8%,"106,990","91,428","154,419",33.2%,"93,304","72,415","247,368",33.1%,"119,138","101,463","121,639","66,632","43,817","92,949",31.5%,"122,593","94,951","160,123",36.1%,"101,197","75,532","256,289",34.4%,"137,161","107,526","127,893","62,740","43,664","96,166",29.8%
